Fecha,CZ,Fecha,GHI1,GHI2,GTI,N,NR,T,TA,TL
2018-01-01 00:00:00,-0.5314917030144772,2018-01-01T00:00:00,0.0,0.0,0.0,1,1,6575.0,18.342,20.568
2018-01-01 01:00:00,-0.5213940889981764,2018-01-01T01:00:00,0.0,0.0,0.0,1,2,6575.041666666668,18.215,20.64
2018-01-01 02:00:00,-0.4605798508616196,2018-01-01T02:00:00,0.0,0.0,0.0,1,3,6575.083333333332,17.719,20.533
2018-01-01 03:00:00,-0.35319337843353216,2018-01-01T03:00:00,0.0,0.0,0.0,1,4,6575.125,15.482000000000001,19.047
2018-01-01 04:00:00,-0.2065528823453526,2018-01-01T04:00:00,0.0,0.0,0.0,1,5,6575.166666666668,14.509,17.488
2018-01-01 05:00:00,-0.030651670070611956,2018-01-01T05:00:00,4.626,4.474,2.513,1,6,6575.208333333332,14.475,16.762999999999998
2018-01-01 06:00:00,0.1625228814646636,2018-01-01T06:00:00,94.69200000000001,88.811,39.48,1,7,6575.25,17.184,19.252
2018-01-01 07:00:00,0.35980624580938514,2018-01-01T07:00:00,323.55,284.16900000000004,101.552,1,8,6575.291666666668,20.247,25.009
2018-01-01 08:00:00,0.547753887709635,2018-01-01T08:00:00,413.221,361.73699999999997,207.175,1,9,6575.333333333332,21.910999999999998,28.379
2018-01-01 09:00:00,0.7135574859680749,2018-01-01T09:00:00,759.1489999999999,678.02,458.675,1,10,6575.375,23.676,28.398000000000003
2018-01-01 10:00:00,0.8459177993667933,2018-01-01T10:00:00,865.758,780.46,599.477,1,11,6575.416666666668,24.93,29.984
2018-01-01 11:00:00,0.935814691283428,2018-01-01T11:00:00,819.1489999999999,753.321,613.1659999999999,1,12,6575.458333333332,25.308000000000003,30.92
2018-01-01 12:00:00,0.9771218370954982,2018-01-01T12:00:00,695.7330000000001,652.056,536.085,1,13,6575.5,24.912,31.351999999999997
2018-01-01 13:00:00,0.9670242230791974,2018-01-01T13:00:00,801.38,740.807,628.3919999999999,1,14,6575.541666666668,25.069000000000003,31.276
2018-01-01 14:00:00,0.9062099849426404,2018-01-01T14:00:00,723.084,668.99,577.395,1,15,6575.583333333332,24.756999999999998,30.68
2018-01-01 15:00:00,0.7988235125145532,2018-01-01T15:00:00,591.987,543.881,464.626,1,16,6575.625,24.796,31.638
2018-01-01 16:00:00,0.6521830164263731,2018-01-01T16:00:00,619.506,557.452,487.514,1,17,6575.666666666668,24.49,32.171
2018-01-01 17:00:00,0.4762818041516328,2018-01-01T17:00:00,395.17800000000005,355.548,298.973,1,18,6575.708333333332,23.259,31.961
2018-01-01 18:00:00,0.2831072526163569,2018-01-01T18:00:00,218.73,200.358,148.22,1,19,6575.75,21.787,29.349
2018-01-01 19:00:00,0.08582388827163534,2018-01-01T19:00:00,65.628,63.292,40.061,1,20,6575.791666666668,20.392,27.143
2018-01-01 20:00:00,-0.1021237536286144,2018-01-01T20:00:00,0.0,0.0,0.0,1,21,6575.833333333332,18.805999999999997,24.394000000000002
2018-01-01 21:00:00,-0.267927351887054,2018-01-01T21:00:00,0.0,0.0,0.0,1,22,6575.875,17.947,22.584
2018-01-01 22:00:00,-0.4002876652857728,2018-01-01T22:00:00,0.0,0.0,0.0,1,23,6575.916666666668,16.498,20.348
2018-01-01 23:00:00,-0.4901845572024073,2018-01-01T23:00:00,0.0,0.0,0.0,1,24,6575.958333333332,15.812000000000001,18.496
2018-01-02 00:00:00,-0.5325407206711461,2018-01-02T00:00:00,0.0,0.0,0.0,2,1,6576.0,14.944,17.477999999999998
2018-01-02 01:00:00,-0.5228223610567475,2018-01-02T01:00:00,0.0,0.0,0.0,2,2,6576.041666666668,13.421,16.317
2018-01-02 02:00:00,-0.4623394197986971,2018-01-02T02:00:00,0.0,0.0,0.0,2,3,6576.083333333332,12.444,14.985
2018-01-02 03:00:00,-0.3552137093909441,2018-01-02T03:00:00,0.0,0.0,0.0,2,4,6576.125,12.338,14.449000000000002
2018-01-02 04:00:00,-0.2087456699641707,2018-01-02T04:00:00,0.0,0.0,0.0,2,5,6576.166666666668,11.705,14.056
2018-01-02 05:00:00,-0.032916856355431234,2018-01-02T05:00:00,5.301,4.841,2.653,2,6,6576.208333333332,11.543,13.685
2018-01-02 06:00:00,0.1602902883586917,2018-01-02T06:00:00,126.228,126.01100000000001,25.826,2,7,6576.25,13.037,16.261
2018-01-02 07:00:00,0.3577090165558333,2018-01-02T07:00:00,329.522,305.97900000000004,91.476,2,8,6576.291666666668,17.366,24.316999999999997
2018-01-02 08:00:00,0.545885568159233,2018-01-02T08:00:00,575.0740000000001,506.125,268.059,2,9,6576.333333333332,21.229,29.464000000000002
2018-01-02 09:00:00,0.7119960221535737,2018-01-02T09:00:00,777.997,699.587,462.092,2,10,6576.375,23.711,30.901999999999997
2018-01-02 10:00:00,0.8447202256096462,2018-01-02T10:00:00,944.778,855.5319999999999,635.828,2,11,6576.416666666668,25.64,31.634
2018-01-02 11:00:00,0.9350132433990352,2018-01-02T11:00:00,1051.762,960.5930000000001,766.928,2,12,6576.458333333332,27.53,32.139
2018-01-02 12:00:00,0.9767217555756617,2018-01-02T12:00:00,1110.157,1016.725,847.94,2,13,6576.5,28.683000000000003,32.739000000000004
2018-01-02 13:00:00,0.9670033959612628,2018-01-02T13:00:00,1095.9360000000001,1001.5939999999999,862.047,2,14,6576.541666666668,30.009,33.838
2018-01-02 14:00:00,0.9065204547032124,2018-01-02T14:00:00,990.712,891.623,789.4839999999999,2,15,6576.583333333332,29.218000000000004,33.966
2018-01-02 15:00:00,0.7993947442954596,2018-01-02T15:00:00,884.345,791.8330000000001,700.914,2,16,6576.625,29.136999999999997,34.698
2018-01-02 16:00:00,0.6529267048686863,2018-01-02T16:00:00,688.45,611.8969999999999,533.234,2,17,6576.666666666668,29.308000000000003,36.234
2018-01-02 17:00:00,0.4770978912599465,2018-01-02T17:00:00,361.13,323.197,269.203,2,18,6576.708333333332,28.55,36.7
2018-01-02 18:00:00,0.2838907465458239,2018-01-02T18:00:00,175.24900000000002,164.965,125.465,2,19,6576.75,27.415,34.474000000000004
2018-01-02 19:00:00,0.08647201834868222,2018-01-02T19:00:00,20.56,20.997,14.9,2,20,6576.791666666668,24.326999999999998,31.546
2018-01-02 20:00:00,-0.10170453325471808,2018-01-02T20:00:00,0.0,0.0,0.0,2,21,6576.833333333332,21.171,27.485
2018-01-02 21:00:00,-0.2678149872490583,2018-01-02T21:00:00,0.0,0.0,0.0,2,22,6576.875,16.21,21.851
2018-01-02 22:00:00,-0.4005391907051308,2018-01-02T22:00:00,0.0,0.0,0.0,2,23,6576.916666666668,16.115,19.692
2018-01-02 23:00:00,-0.4908322084945201,2018-01-02T23:00:00,0.0,0.0,0.0,2,24,6576.958333333332,16.099,18.930999999999997
2018-01-03 00:00:00,-0.5336990491824409,2018-01-03T00:00:00,0.0,0.0,0.0,3,1,6577.0,15.375,18.409000000000002
2018-01-03 01:00:00,-0.52435625419992,2018-01-03T01:00:00,0.0,0.0,0.0,3,2,6577.041666666668,14.94,17.689
2018-01-03 02:00:00,-0.4641985036450382,2018-01-03T02:00:00,0.0,0.0,0.0,3,3,6577.083333333332,14.538,16.942
2018-01-03 03:00:00,-0.35732544880272704,2018-01-03T03:00:00,0.0,0.0,0.0,3,4,6577.125,13.463,16.046
2018-01-03 04:00:00,-0.2110203117444162,2018-01-03T04:00:00,0.0,0.0,0.0,3,5,6577.166666666668,13.347999999999999,15.485999999999999
2018-01-03 05:00:00,-0.03525354577995893,2018-01-03T05:00:00,2.283,2.144,1.526,3,6,6577.208333333332,13.13,15.31
2018-01-03 06:00:00,0.1579966344584813,2018-01-03T06:00:00,141.632,142.815,41.295,3,7,6577.25,15.258,17.634
2018-01-03 07:00:00,0.3555605485486781,2018-01-03T07:00:00,331.528,296.23900000000003,85.587,3,8,6577.291666666668,19.17,26.058000000000003
2018-01-03 08:00:00,0.5439745422351896,2018-01-03T08:00:00,563.336,499.035,263.024,3,9,6577.333333333332,22.713,30.065
2018-01-03 09:00:00,0.7103985132171257,2018-01-03T09:00:00,771.0210000000001,689.187,456.13699999999994,3,10,6577.375,24.686,30.9
2018-01-03 10:00:00,0.843490942900684,2018-01-03T10:00:00,932.904,840.05,626.007,3,11,6577.416666666668,26.221,31.677
2018-01-03 11:00:00,0.9341818021485696,2018-01-03T11:00:00,1045.396,947.22,758.1030000000001,3,12,6577.458333333332,27.565,31.781999999999996
2018-01-03 12:00:00,0.97629065877677,2018-01-03T12:00:00,1098.482,998.53,835.056,3,13,6577.5,28.308000000000003,32.153
2018-01-03 13:00:00,0.9669478637942492,2018-01-03T13:00:00,1087.052,986.5239999999999,851.337,3,14,6577.541666666668,29.06,32.774
2018-01-03 14:00:00,0.9067901132393674,2018-01-03T14:00:00,1007.882,911.615,805.24,3,15,6577.583333333332,30.377,34.202
2018-01-03 15:00:00,0.7999170583970558,2018-01-03T15:00:00,872.758,783.679,697.3710000000001,3,16,6577.625,31.425,37.25
2018-01-03 16:00:00,0.6536119213387452,2018-01-03T16:00:00,685.308,610.38,535.54,3,17,6577.666666666668,31.964000000000002,39.836999999999996
2018-01-03 17:00:00,0.4778451553742883,2018-01-03T17:00:00,476.527,418.715,350.395,3,18,6577.708333333332,31.826,40.452
2018-01-03 18:00:00,0.284594975135848,2018-01-03T18:00:00,232.55,203.731,145.849,3,19,6577.75,30.008000000000003,37.759
2018-01-03 19:00:00,0.08703106104565084,2018-01-03T19:00:00,49.196999999999996,46.13,23.171,3,20,6577.791666666668,27.5,34.805
2018-01-03 20:00:00,-0.10138293264086083,2018-01-03T20:00:00,0.0,0.0,0.0,3,21,6577.833333333332,24.424,30.135
2018-01-03 21:00:00,-0.2678069036227964,2018-01-03T21:00:00,0.0,0.0,0.0,3,22,6577.875,23.362,27.675
2018-01-03 22:00:00,-0.4008993333063552,2018-01-03T22:00:00,0.0,0.0,0.0,3,23,6577.916666666668,22.844,26.031
2018-01-03 23:00:00,-0.4915901925542407,2018-01-03T23:00:00,0.0,0.0,0.0,3,24,6577.958333333332,22.35,24.837
2018-01-04 00:00:00,-0.5349659540163083,2018-01-04T00:00:00,0.0,0.0,0.0,4,1,6578.0,21.205,23.796999999999997
2018-01-04 01:00:00,-0.5259947389444127,2018-01-04T01:00:00,0.0,0.0,0.0,4,2,6578.041666666668,20.486,22.868000000000002
2018-01-04 02:00:00,-0.4661558323431052,2018-01-04T02:00:00,0.0,0.0,0.0,4,3,6578.083333333332,19.894000000000002,22.175
2018-01-04 03:00:00,-0.359527156808796,2018-01-04T03:00:00,0.0,0.0,0.0,4,4,6578.125,19.492,21.754
2018-01-04 04:00:00,-0.2133752803669302,2018-01-04T04:00:00,0.0,0.0,0.0,4,5,6578.166666666668,18.201,20.883000000000003
2018-01-04 05:00:00,-0.03766021186962537,2018-01-04T05:00:00,2.755,2.74,1.865,4,6,6578.208333333332,17.955,19.996
2018-01-04 06:00:00,0.15564335714790714,2018-01-04T06:00:00,111.87299999999999,101.24799999999999,24.419,4,7,6578.25,19.455,21.936
2018-01-04 07:00:00,0.3533621079063751,2018-01-04T07:00:00,317.057,280.975,80.967,4,8,6578.291666666668,23.343000000000004,28.695999999999998
2018-01-04 08:00:00,0.5420218342872736,2018-01-04T08:00:00,530.178,471.93,252.08599999999998,4,9,6578.333333333332,26.664,32.52
2018-01-04 09:00:00,0.7087656877126824,2018-01-04T09:00:00,727.883,654.127,435.523,4,10,6578.375,30.475,34.856
2018-01-04 10:00:00,0.8422303501289076,2018-01-04T10:00:00,894.1519999999999,808.434,604.481,4,11,6578.416666666668,32.71,36.415
2018-01-04 11:00:00,0.9333204253530664,2018-01-04T11:00:00,1007.235,917.201,732.8530000000001,4,12,6578.458333333332,34.657,37.513000000000005
2018-01-04 12:00:00,0.9758282752920986,2018-01-04T12:00:00,1055.516,967.2589999999999,804.025,4,13,6578.5,35.744,38.952
2018-01-04 13:00:00,0.9668570602202029,2018-01-04T13:00:00,1025.205,933.725,804.04,4,14,6578.541666666668,36.434,39.676
2018-01-04 14:00:00,0.9070181536188956,2018-01-04T14:00:00,948.028,859.455,757.0060000000001,4,15,6578.583333333332,37.009,40.368
2018-01-04 15:00:00,0.8003894780845859,2018-01-04T15:00:00,821.34,740.148,654.974,4,16,6578.625,37.356,42.055
2018-01-04 16:00:00,0.6542376016427204,2018-01-04T16:00:00,639.552,571.69,501.215,4,17,6578.666666666668,36.957,43.438
2018-01-04 17:00:00,0.4785225331454159,2018-01-04T17:00:00,393.755,347.78,290.178,4,18,6578.708333333332,35.998000000000005,43.31100000000001
2018-01-04 18:00:00,0.2852189641278834,2018-01-04T18:00:00,175.06099999999998,154.66,114.554,4,19,6578.75,31.855999999999998,39.763000000000005
2018-01-04 19:00:00,0.08750021336941505,2018-01-04T19:00:00,46.097,44.669,25.084,4,20,6578.791666666668,29.785999999999998,36.571
2018-01-04 20:00:00,-0.10115951301148356,2018-01-04T20:00:00,0.0,0.0,0.0,4,21,6578.833333333332,25.875999999999998,32.406
2018-01-04 21:00:00,-0.26790336643689194,2018-01-04T21:00:00,0.0,0.0,0.0,4,22,6578.875,24.528000000000002,29.295
2018-01-04 22:00:00,-0.4013680288531174,2018-01-04T22:00:00,0.0,0.0,0.0,4,23,6578.916666666668,23.531999999999996,27.105
2018-01-04 23:00:00,-0.492458104077276,2018-01-04T23:00:00,0.0,0.0,0.0,4,24,6578.958333333332,25.04,26.462
2018-01-05 00:00:00,-0.5363406292814518,2018-01-05T00:00:00,0.0,0.0,0.0,5,1,6579.0,24.093000000000004,26.493000000000002
2018-01-05 01:00:00,-0.5277367162848134,2018-01-05T01:00:00,0.0,0.0,0.0,5,2,6579.041666666668,22.978,25.443
2018-01-05 02:00:00,-0.4682100713168539,2018-01-05T02:00:00,0.0,0.0,0.0,5,3,6579.083333333332,22.604,24.686999999999998
2018-01-05 03:00:00,-0.36181733685970696,2018-01-05T03:00:00,0.0,0.0,0.0,5,4,6579.125,21.59,24.124000000000002
2018-01-05 04:00:00,-0.2158090019443212,2018-01-05T04:00:00,0.0,0.0,0.0,5,5,6579.166666666668,20.985,23.289
2018-01-05 05:00:00,-0.04013529330499771,2018-01-05T05:00:00,1.734,1.973,1.54,5,6,6579.208333333332,20.804000000000002,23.206
2018-01-05 06:00:00,0.15323191612902404,2018-01-05T06:00:00,55.095,51.29600000000001,40.304,5,7,6579.25,20.596999999999998,23.070999999999998
2018-01-05 07:00:00,0.3511149705892377,2018-01-05T07:00:00,137.384,123.54299999999999,85.163,5,8,6579.291666666668,22.679000000000002,24.726
2018-01-05 08:00:00,0.5400284669313891,2018-01-05T08:00:00,511.26199999999994,460.25699999999995,251.34900000000002,5,9,6579.333333333332,26.913,30.386
2018-01-05 09:00:00,0.7070982625740745,2018-01-05T09:00:00,694.988,636.462,435.02,5,10,6579.375,29.91,36.18
2018-01-05 10:00:00,0.8409388270401364,2018-01-05T10:00:00,675.735,621.637,483.745,5,11,6579.416666666668,27.969,35.658
2018-01-05 11:00:00,0.9324291470432036,2018-01-05T11:00:00,563.251,521.688,414.82599999999996,5,12,6579.458333333332,27.383000000000003,33.855
2018-01-05 12:00:00,0.9753343084699692,2018-01-05T12:00:00,296.744,273.51,227.23,5,13,6579.5,23.959,30.941999999999997
2018-01-05 13:00:00,0.9667303954733308,2018-01-05T13:00:00,361.847,333.991,272.938,5,14,6579.541666666668,21.285999999999998,26.053
2018-01-05 14:00:00,0.9072037505053712,2018-01-05T14:00:00,263.657,251.57299999999998,213.74200000000002,5,15,6579.583333333332,22.08,25.894000000000002
